Date,Symbol,Signal,Entry_Price,Next_Day_Close,PnL_%,Result
2025-11-10,AUROPHARMA,BUY,1145.300048828125,1168.199951171875,2.0,WIN ✅
2025-11-10,BDL,BUY,1510.0999755859375,1533.4000244140625,1.54,WIN ✅
2025-11-10,CHOLAFIN,BUY,1746.0999755859375,1741.800048828125,-0.25,LOSS ❌
2025-11-10,COCHINSHIP,BUY,1763.300048828125,1754.5,-0.5,LOSS ❌
2025-11-10,ENRIN,BUY,3298.39990234375,3248.199951171875,-1.52,LOSS ❌
2025-11-10,FORTIS,SELL,1001.2000122070312,986.9000244140625,1.43,WIN ✅
2025-11-10,GRASIM,BUY,2778.699951171875,2775.800048828125,-0.1,LOSS ❌
2025-11-10,HAL,BUY,4775.7998046875,4862.60009765625,1.82,WIN ✅
2025-11-10,HINDZINC,BUY,483.6499938964844,487.5,0.8,WIN ✅
2025-11-10,INFY,BUY,1517.9000244140625,1530.300048828125,0.82,WIN ✅
2025-11-10,IRB,SELL,43.34000015258789,43.2400016784668,0.23,WIN ✅
2025-11-10,JUBLFOOD,BUY,587.0,580.0499877929688,-1.18,LOSS ❌
2025-11-10,LICI,SELL,905.0,900.5999755859375,0.49,WIN ✅
2025-11-10,LTIM,BUY,5673.0,5710.5,0.66,WIN ✅
2025-11-10,LUPIN,BUY,2027.0,1975.9000244140625,-2.52,LOSS ❌
2025-11-10,MAZDOCK,BUY,2721.5,2752.5,1.14,WIN ✅
2025-11-10,MUTHOOTFIN,BUY,3293.800048828125,3389.300048828125,2.9,WIN ✅
2025-11-10,NYKAA,BUY,261.94000244140625,262.0199890136719,0.03,WIN ✅
2025-11-10,PREMIERENE,SELL,1005.2999877929688,1025.0999755859375,-1.97,LOSS ❌
2025-11-10,SAIL,BUY,144.9600067138672,144.39999389648438,-0.39,LOSS ❌
2025-11-10,TORNTPHARM,BUY,3814.0,3825.800048828125,0.31,WIN ✅
2025-11-10,TORNTPOWER,BUY,1306.0,1336.800048828125,2.36,WIN ✅
2025-11-10,TRENT,SELL,4299.10009765625,4315.7998046875,-0.39,LOSS ❌
2025-11-10,VOLTAS,BUY,1349.0,1303.800048828125,-3.35,LOSS ❌
2025-11-11,ADANIENSOL,BUY,978.7999877929688,1001.9000244140625,2.36,WIN ✅
2025-11-11,ASHOKLEY,BUY,144.8699951171875,142.52999877929688,-1.62,LOSS ❌
2025-11-11,AUBANK,SELL,892.7000122070312,882.0499877929688,1.19,WIN ✅
2025-11-11,BAJAJFINSV,SELL,1980.4000244140625,2035.5,-2.78,LOSS ❌
2025-11-11,BAJAJHLDNG,SELL,12197.0,11998.0,1.63,WIN ✅
2025-11-11,BAJFINANCE,SELL,1004.9000244140624,1013.2000122070312,-0.83,LOSS ❌
2025-11-11,BEL,BUY,425.7000122070313,424.75,-0.22,LOSS ❌
2025-11-11,BHEL,BUY,285.5,287.04998779296875,0.54,WIN ✅
2025-11-11,BPCL,BUY,373.7999877929687,375.45001220703125,0.44,WIN ✅
2025-11-11,COFORGE,BUY,1797.5999755859375,1827.699951171875,1.67,WIN ✅
2025-11-11,DIVISLAB,SELL,6503.5,6520.0,-0.25,LOSS ❌
2025-11-11,HUDCO,SELL,226.47999572753903,227.1699981689453,-0.3,LOSS ❌
2025-11-11,IDEA,BUY,10.260000228881836,10.369999885559082,1.07,WIN ✅
