symbol,start_time,open,high,low,close
ABB,13:40,5173.5,5174.5,5172.0,5173.0
ACC,13:40,1860.0,1861.0,1859.9000244140625,1860.4000244140625
ADANIENT,13:40,2505.199951171875,2505.199951171875,2500.199951171875,2501.300048828125
ADANIPORTS,13:40,1418.5,1418.5999755859375,1417.300048828125,1417.699951171875
ALKEM,13:40,5414.5,5424.0,5414.0,5419.5
AMBUJACEM,13:40,557.0999755859375,557.2999877929688,556.0,556.0
APOLLOHOSP,13:40,7849.5,7855.0,7839.5,7840.5
ASHOKLEY,13:40,138.92999267578125,138.9600067138672,138.75,138.80999755859375
ASIANPAINT,13:40,2509.10009765625,2509.10009765625,2505.0,2506.0
AUBANK,13:40,875.0499877929688,875.25,875.0,875.0
AUROPHARMA,13:40,1088.5999755859375,1088.9000244140625,1087.300048828125,1088.300048828125
AXISBANK,13:40,1241.5,1241.5999755859375,1238.4000244140625,1238.5999755859375
BAJAJ-AUTO,13:40,9068.0,9071.5,9066.0,9070.5
BAJAJFINSV,13:40,2137.699951171875,2138.39990234375,2136.0,2137.10009765625
BAJFINANCE,13:40,1069.9000244140625,1069.949951171875,1068.050048828125,1068.300048828125
BANKBARODA,13:40,276.45001220703125,276.54998779296875,276.25,276.3999938964844
BEL,13:40,414.04998779296875,414.04998779296875,413.0,413.0
BHARATFORG,13:40,1312.0999755859375,1312.0999755859375,1310.5999755859375,1311.0999755859375
BHARTIARTL,13:40,2096.5,2098.10009765625,2092.89990234375,2092.89990234375
BHEL,13:40,237.42999267578125,238.13999938964844,237.2899932861328,237.33999633789062
BIOCON,13:40,364.1499938964844,364.20001220703125,363.95001220703125,364.20001220703125
BOSCHLTD,13:40,38500.0,38540.0,38480.0,38490.0
BPCL,13:40,341.75,341.75,341.04998779296875,341.1499938964844
BRITANNIA,13:40,5829.0,5829.0,5815.0,5815.0
CANBK,13:40,130.0399932861328,130.08999633789062,129.74000549316406,129.75
CHOLAFIN,13:40,1715.4000244140625,1715.800048828125,1713.5,1714.5999755859375
CIPLA,13:40,1573.5999755859375,1573.800048828125,1572.800048828125,1573.800048828125
COALINDIA,13:40,392.6499938964844,392.75,391.8999938964844,391.8999938964844
COFORGE,13:40,1805.5,1805.5999755859375,1803.0999755859375,1803.5
COLPAL,13:40,2226.89990234375,2228.60009765625,2226.10009765625,2227.0
CONCOR,13:40,540.0999755859375,540.9500122070312,539.7999877929688,539.8499755859375
CUMMINSIND,13:40,4288.2001953125,4288.2001953125,4282.2001953125,4284.5
DABUR,13:40,502.1000061035156,502.29998779296875,501.3500061035156,502.25
DIVISLAB,13:40,6397.0,6405.5,6391.0,6401.5
DLF,13:40,776.25,776.5999755859375,775.2999877929688,776.0
DRREDDY,13:40,1285.0,1285.0,1284.0,1284.199951171875
EICHERMOT,13:40,6971.5,6981.0,6965.0,6965.0
FEDERALBNK,13:40,235.24000549316406,235.33999633789062,235.02999877929688,235.05999755859375
GAIL,13:40,178.6999969482422,178.74000549316406,178.39999389648438,178.39999389648438
GLENMARK,13:40,1803.800048828125,1804.300048828125,1801.0,1802.0999755859375
GODREJCP,13:40,1117.0,1117.0,1113.5,1113.699951171875
GRASIM,13:40,2954.800048828125,2959.0,2945.10009765625,2946.0
HAL,13:40,4731.10009765625,4731.10009765625,4718.7998046875,4721.7998046875
HAVELLS,13:40,1480.0999755859375,1480.5999755859375,1480.0,1480.199951171875
HCLTECH,13:40,1521.0,1521.0999755859375,1519.9000244140625,1520.0999755859375
HDFCBANK,13:40,1002.5999755859375,1002.7000122070312,999.4500122070312,999.4500122070312
HDFCLIFE,13:40,747.2000122070312,747.25,746.0499877929688,746.0999755859375
HEROMOTOCO,13:40,5600.5,5602.0,5587.5,5589.5
HINDALCO,13:40,850.9000244140625,850.9000244140625,849.0,849.0
HINDPETRO,13:40,452.0,452.0,451.3500061035156,451.6000061035156
HINDUNILVR,13:40,2496.60009765625,2497.39990234375,2490.10009765625,2490.10009765625
ICICIBANK,13:40,1362.800048828125,1363.0999755859375,1361.300048828125,1361.4000244140625
ICICIGI,13:40,2013.5999755859375,2017.4000244140625,2012.300048828125,2016.0999755859375
IDFCFIRSTB,13:40,79.4000015258789,79.41999816894531,79.27999877929688,79.37999725341797
IGL,13:40,210.41000366210938,210.4600067138672,210.1199951171875,210.1199951171875
INDHOTEL,13:40,741.2999877929688,741.2999877929688,740.5499877929688,741.0499877929688
INDUSINDBK,13:40,794.3499755859375,794.6500244140625,793.0999755859375,793.75
INFY,13:40,1498.5999755859375,1498.9000244140625,1494.800048828125,1494.800048828125
IOC,13:40,154.5800018310547,154.64999389648438,154.39999389648438,154.4199981689453
ITC,13:40,418.3500061035156,418.54998779296875,417.3500061035156,417.3500061035156
JINDALSTEL,13:40,1075.0999755859375,1075.699951171875,1074.5,1074.5999755859375
JSWSTEEL,13:40,1178.9000244140625,1179.0,1178.0,1178.0
JUBLFOOD,13:40,594.4000244140625,595.0,593.5999755859375,594.5
KOTAKBANK,13:40,2152.300048828125,2154.300048828125,2151.5,2153.10009765625
LT,13:40,3959.300048828125,3959.39990234375,3945.10009765625,3947.60009765625
LTIM,13:40,5591.0,5591.0,5585.0,5586.5
LUPIN,13:40,1910.800048828125,1913.5999755859375,1909.300048828125,1912.0999755859375
MARICO,13:40,719.2000122070312,719.5,718.0,718.0
MARUTI,13:40,16324.0,16324.0,16303.0,16305.0
MOTHERSON,13:40,106.69999694824219,106.70999908447266,106.44999694824219,106.4800033569336
MPHASIS,13:40,2833.0,2833.39990234375,2829.5,2829.5
