symbol,start_time,open,high,low,close
PNB,13:40,121.0,121.05000305175781,120.83000183105469,120.93000030517578
POLYCAB,13:40,7664.5,7665.0,7657.5,7659.0
POWERGRID,13:40,288.6499938964844,288.6499938964844,288.1000061035156,288.1499938964844
RECLTD,13:40,369.79998779296875,369.79998779296875,369.20001220703125,369.29998779296875
RELIANCE,13:40,1488.9000244140625,1489.0,1484.800048828125,1484.800048828125
SAIL,13:40,132.5,132.50999450683594,131.9199981689453,132.14999389648438
SBILIFE,13:40,1940.4000244140625,1941.800048828125,1939.5999755859375,1941.300048828125
SBIN,13:40,929.5,930.0999755859375,927.25,927.2999877929688
SHREECEM,13:40,28490.0,28500.0,28480.0,28480.0
SIEMENS,13:40,3109.300048828125,3109.300048828125,3100.0,3100.89990234375
SRF,13:40,3033.699951171875,3033.89990234375,3030.0,3030.0
SUNPHARMA,13:40,1687.199951171875,1689.9000244140625,1686.800048828125,1688.0
TATACOMM,13:40,1898.300048828125,1913.0,1898.300048828125,1909.300048828125
TATACONSUM,13:40,1166.5,1166.5,1163.0999755859375,1164.199951171875
TATAPOWER,13:40,398.8500061035156,398.95001220703125,398.75,398.8500061035156
TATASTEEL,13:40,181.30999755859375,181.4199981689453,181.07000732421875,181.07000732421875
TCS,13:40,3060.10009765625,3060.5,3052.300048828125,3053.10009765625
TECHM,13:40,1444.0999755859375,1444.0999755859375,1438.800048828125,1439.699951171875
TITAN,13:40,3702.800048828125,3703.199951171875,3693.10009765625,3693.300048828125
TORNTPHARM,13:40,3566.0,3566.89990234375,3565.10009765625,3565.10009765625
TRENT,13:40,4750.0,4750.0,4732.0,4732.0
TVSMOTOR,13:40,3622.199951171875,3623.0,3615.0,3615.0
ULTRACEMCO,13:40,11956.0,11959.0,11946.0,11948.0
UPL,13:40,700.9500122070312,701.7999877929688,699.8499755859375,700.5
VEDL,13:40,504.6000061035156,504.6499938964844,503.45001220703125,503.70001220703125
VOLTAS,13:40,1414.5,1415.0,1411.199951171875,1411.199951171875
WIPRO,13:40,242.36000061035156,242.3699951171875,242.02999877929688,242.0399932861328
