symbol,open,high,low,close,signal
360ONE,1134.9000244140625,1137.4000244140625,1126.5,1130.800048828125,HOLD
ABB,5295.0,5304.5,5246.5,5250.0,HOLD
ABCAPITAL,310.8500061035156,313.6000061035156,310.8500061035156,312.04998779296875,HOLD
ACC,1875.0,1886.4000244140625,1875.0,1882.5,HOLD
ADANIENSOL,968.0999755859375,968.0999755859375,957.1500244140625,959.9500122070312,HOLD
ADANIENT,2553.5,2558.0,2536.0,2555.0,HOLD
ADANIGREEN,1112.5,1129.199951171875,1107.0999755859375,1127.699951171875,HOLD
ADANIPORTS,1457.800048828125,1458.699951171875,1449.5999755859375,1456.4000244140625,HOLD
ADANIPOWER,163.72000122070312,163.72000122070312,162.3000030517578,162.99000549316406,HOLD
ALKEM,5540.0,5540.0,5478.5,5487.0,HOLD
AMBUJACEM,573.2999877929688,573.2999877929688,570.0,571.7000122070312,HOLD
APLAPOLLO,1811.9000244140625,1811.9000244140625,1755.4000244140625,1767.9000244140625,HOLD
APOLLOHOSP,7785.0,7830.0,7785.0,7810.0,HOLD
ASHOKLEY,139.60000610351562,140.13999938964844,139.22999572753906,139.47999572753906,HOLD
ASIANPAINT,2533.89990234375,2538.10009765625,2521.0,2526.0,HOLD
ASTRAL,1463.0,1468.199951171875,1458.300048828125,1459.199951171875,HOLD
ATGL,635.9000244140625,643.1500244140625,631.4000244140625,642.5999755859375,HOLD
AUBANK,883.2000122070312,885.3499755859375,877.6500244140625,884.5999755859375,HOLD
AUROPHARMA,1113.0999755859375,1113.0999755859375,1097.199951171875,1097.199951171875,HOLD
AXISBANK,1246.4000244140625,1248.0,1241.199951171875,1242.300048828125,HOLD
BAJAJ-AUTO,9040.0,9065.0,9014.5,9044.0,HOLD
BAJAJFINSV,2136.0,2137.300048828125,2129.5,2132.10009765625,HOLD
BAJAJHFL,110.30999755859375,112.4000015258789,110.30999755859375,111.54000091552734,HOLD
BAJAJHLDNG,12683.0,12685.0,12608.0,12644.0,HOLD
BAJFINANCE,1063.5999755859375,1066.800048828125,1061.25,1063.6500244140625,HOLD
BANKBARODA,274.5,275.79998779296875,272.8500061035156,274.8999938964844,HOLD
BANKINDIA,140.0,141.64999389648438,140.0,140.74000549316406,HOLD
BDL,1525.0,1533.5,1520.199951171875,1523.300048828125,HOLD
BEL,407.79998779296875,408.29998779296875,406.1000061035156,407.25,HOLD
BHARATFORG,1325.0,1326.300048828125,1316.199951171875,1316.199951171875,HOLD
