symbol,open,high,low,close,ORH,ORL,last_close,signal,time
360ONE,1134.9000244140625,1137.4000244140625,1126.5,1130.800048828125,1137.4000244140625,1126.5,1119.800048828125,BREAKDOWN ↓ (close below ORL),15:25
ABB,5295.0,5304.5,5246.5,5250.0,5304.5,5246.5,5280.0,Inside Range,15:25
ABCAPITAL,310.8500061035156,313.6000061035156,310.8500061035156,312.04998779296875,313.6000061035156,310.8500061035156,327.0,BREAKOUT ↑ (close above ORH),15:25
ACC,1875.0,1886.4000244140625,1875.0,1882.5,1886.4000244140625,1875.0,1861.0,BREAKDOWN ↓ (close below ORL),15:25
ADANIENSOL,968.0999755859375,968.0999755859375,957.1500244140625,959.9500122070312,968.0999755859375,957.1500244140625,965.0999755859375,Inside Range,15:25
ADANIENT,2553.5,2558.0,2536.0,2555.0,2558.0,2536.0,2529.0,BREAKDOWN ↓ (close below ORL),15:25
ADANIGREEN,1112.5,1129.199951171875,1107.0999755859375,1127.699951171875,1129.199951171875,1107.0999755859375,1142.199951171875,BREAKOUT ↑ (close above ORH),15:25
ADANIPORTS,1457.800048828125,1458.699951171875,1449.5999755859375,1456.4000244140625,1458.699951171875,1449.5999755859375,1459.0999755859375,BREAKOUT ↑ (close above ORH),15:25
ADANIPOWER,163.72000122070312,163.72000122070312,162.3000030517578,162.99000549316406,163.72000122070312,162.3000030517578,162.3000030517578,Inside Range,15:25
ALKEM,5540.0,5540.0,5478.5,5487.0,5540.0,5478.5,5525.0,Inside Range,15:25
AMBUJACEM,573.2999877929688,573.2999877929688,570.0,571.7000122070312,573.2999877929688,570.0,567.2000122070312,BREAKDOWN ↓ (close below ORL),15:25
APLAPOLLO,1811.9000244140625,1811.9000244140625,1755.4000244140625,1767.9000244140625,1811.9000244140625,1755.4000244140625,1784.5999755859375,Inside Range,15:25
APOLLOHOSP,7785.0,7830.0,7785.0,7810.0,7830.0,7785.0,7798.5,Inside Range,15:25
ASHOKLEY,139.60000610351562,140.13999938964844,139.22999572753906,139.47999572753906,140.13999938964844,139.22999572753906,140.8000030517578,BREAKOUT ↑ (close above ORH),15:25
ASIANPAINT,2533.89990234375,2538.10009765625,2521.0,2526.0,2538.10009765625,2521.0,2523.5,Inside Range,15:25
ASTRAL,1463.0,1468.199951171875,1458.300048828125,1459.199951171875,1468.199951171875,1458.300048828125,1461.0,Inside Range,15:25
ATGL,635.9000244140625,643.1500244140625,631.4000244140625,642.5999755859375,643.1500244140625,631.4000244140625,638.5,Inside Range,15:25
AUBANK,883.2000122070312,885.3499755859375,877.6500244140625,884.5999755859375,885.3499755859375,877.6500244140625,878.2999877929688,Inside Range,15:25
AUROPHARMA,1113.0999755859375,1113.0999755859375,1097.199951171875,1097.199951171875,1113.0999755859375,1097.199951171875,1099.800048828125,Inside Range,15:25
